id,Longitude,Latitude,UHI Index,S2_B01,S2_B02,S2_B03,S2_B04,S2_B05,S2_B06,S2_B07,S2_B08,S2_B8A,S2_B11,S2_B12,NDVI_S2,NDBI_S2,NDWI_S2,NDVI_LS,LST_LS
15,-73.90952167,40.81203167,1.010815469,1285.0,1206.0,1382.0,1434.0,1828.0,1884.0,1874.0,2082.0,1990.0,2126.0,1656.0,0.18430034129692832,0.010456273764258554,-0.20207852193995382,0.09948897127096898,43.85935508
16,-73.90953,40.81198167,1.010815469,1285.0,1082.0,1210.0,1286.0,1992.0,2045.0,1922.0,1646.0,2005.0,2306.0,1792.0,0.12278308321964529,0.16700404858299595,-0.15266106442577032,0.09948897127096898,43.85935508
17,-73.90954833,40.81194,1.010815469,1285.0,2206.0,2222.0,2336.0,1992.0,2045.0,1922.0,2780.0,2005.0,2306.0,1792.0,0.08678655199374512,-0.09319701140385371,-0.11155537784886045,0.09948897127096898,43.85935508
18,-73.90956333,40.8119,1.010815469,1285.0,2206.0,2222.0,2336.0,1992.0,2045.0,1922.0,2780.0,2005.0,2306.0,1792.0,0.08678655199374512,-0.09319701140385371,-0.11155537784886045,0.09948897127096898,43.85935508
19,-73.90958167,40.81186333,1.010815469,1285.0,1632.0,1948.0,2148.0,1992.0,2045.0,1922.0,2332.0,2005.0,2306.0,1792.0,0.04107142857142857,-0.00560586459680897,-0.08971962616822429,0.09948897127096898,43.85935508
20,-73.9096,40.81181167,1.012979184,1285.0,1632.0,1948.0,2148.0,1992.0,2045.0,1922.0,2332.0,2005.0,2306.0,1792.0,0.04107142857142857,-0.00560586459680897,-0.08971962616822429,0.09948897127096898,43.85935508
21,-73.909615,40.81175333,1.012979184,1285.0,1122.0,1338.0,1494.0,1602.0,1686.0,1679.0,1650.0,1705.0,1919.0,1661.0,0.04961832061068702,0.07537125245166713,-0.10441767068273092,0.13960507654823817,44.36522204000005
22,-73.90963167,40.8117,1.012979184,942.0,1408.0,1558.0,1612.0,2001.0,1952.0,1989.0,2004.0,2079.0,2278.0,2048.0,0.1084070796460177,0.0639887902849136,-0.12521055586749016,0.13960507654823817,44.36522204000005
23,-73.90964667,40.81164333,1.012979184,942.0,1408.0,1558.0,1612.0,2001.0,1952.0,1989.0,2004.0,2079.0,2278.0,2048.0,0.1084070796460177,0.0639887902849136,-0.12521055586749016,0.13960507654823817,44.36522204000005
24,-73.90966167,40.81157833,1.012979184,782.0,1976.0,1960.0,2048.0,1937.0,2375.0,2432.0,2230.0,2475.0,2453.0,2313.0,0.04254324450677887,0.047619047619047616,-0.06443914081145585,0.13960507654823817,44.36522204000005
25,-73.909675,40.81151,1.012979184,782.0,1648.0,1764.0,1866.0,1937.0,2375.0,2432.0,2244.0,2475.0,2453.0,2313.0,0.09197080291970802,0.04449648711943794,-0.11976047904191617,0.3927037087222325,44.72411413999998
26,-73.90969333,40.81144167,1.012979184,782.0,1070.0,1150.0,1132.0,1389.0,2190.0,2662.0,2204.0,2677.0,1902.0,1418.0,0.3213429256594724,-0.07355090112031173,-0.31425163983303517,0.3927037087222325,44.72411413999998
27,-73.909705,40.81137667,1.012979184,782.0,1070.0,1150.0,1132.0,1389.0,2190.0,2662.0,2204.0,2677.0,1902.0,1418.0,0.3213429256594724,-0.07355090112031173,-0.31425163983303517,0.3927037087222325,44.72411413999998
28,-73.90971333,40.81132,1.012979184,782.0,703.0,843.0,775.0,1389.0,2190.0,2662.0,2482.0,2677.0,1902.0,1418.0,0.5241019342953638,-0.1322992700729927,-0.49293233082706767,0.3927037087222325,44.72411413999998
29,-73.909745,40.81123,1.012979184,782.0,825.0,915.0,868.0,1106.0,1913.0,2243.0,2014.0,2224.0,1688.0,1248.0,0.3976405274115198,-0.08806050783360346,-0.37521338340730626,0.3071447014127107,44.80956464000002
30,-73.909755,40.81120333,1.012979184,782.0,825.0,915.0,868.0,1106.0,1913.0,2243.0,2014.0,2224.0,1688.0,1248.0,0.3976405274115198,-0.08806050783360346,-0.37521338340730626,0.3071447014127107,44.80956464000002
31,-73.90977,40.81116167,1.015142899,782.0,912.0,1088.0,1084.0,1106.0,1913.0,2243.0,1790.0,2224.0,1688.0,1248.0,0.24565066109951286,-0.029327199539965498,-0.24391938846421127,0.3071447014127107,44.80956464000002
32,-73.90978667,40.81111833,1.015263105,782.0,912.0,1088.0,1084.0,1106.0,1913.0,2243.0,1790.0,2224.0,1688.0,1248.0,0.24565066109951286,-0.029327199539965498,-0.24391938846421127,0.3071447014127107,44.80956464000002
33,-73.90980833,40.81106,1.015263105,789.0,733.0,922.0,945.0,1160.0,1722.0,1784.0,1778.0,1795.0,1823.0,1429.0,0.3059125964010283,0.012496528742016106,-0.31703703703703706,0.3071447014127107,44.80956464000002
34,-73.909875,40.810865,1.019590535,789.0,854.0,1028.0,972.0,1181.0,1672.0,1747.0,1648.0,1933.0,1979.0,1622.0,0.2580152671755725,0.09125999448580094,-0.23168908819133036,0.22883282998756432,44.84032682000003
35,-73.9099,40.81081,1.019590535,789.0,1138.0,1218.0,1378.0,1707.0,2149.0,2094.0,1976.0,2249.0,2333.0,1610.0,0.17829457364341086,0.08284984915293572,-0.23731997495303694,0.234831661020246,44.24900936000006
36,-73.90992833,40.81075333,1.02175425,789.0,1138.0,1218.0,1378.0,1707.0,2149.0,2094.0,1976.0,2249.0,2333.0,1610.0,0.17829457364341086,0.08284984915293572,-0.23731997495303694,0.234831661020246,44.24900936000006
37,-73.909965,40.810705,1.02175425,789.0,1122.0,1342.0,1312.0,1460.0,1831.0,2067.0,1832.0,2103.0,2128.0,1596.0,0.16539440203562342,0.07474747474747474,-0.1543793320730939,0.34838978114338015,44.173812920000046
38,-73.90995167,40.81062833,1.023917965,789.0,1038.0,1120.0,1190.0,1460.0,1831.0,2067.0,1716.0,2103.0,2128.0,1596.0,0.1810048176187199,0.10718002081165452,-0.21015514809590974,0.34838978114338015,44.173812920000046
39,-73.90991333,40.8106,1.02175425,789.0,1038.0,1120.0,1190.0,1460.0,1831.0,2067.0,1716.0,2103.0,2128.0,1596.0,0.1810048176187199,0.10718002081165452,-0.21015514809590974,0.34838978114338015,44.173812920000046
40,-73.90974333,40.810515,1.02175425,906.0,929.0,1112.0,1098.0,1349.0,1755.0,1841.0,2034.0,1951.0,1927.0,1552.0,0.2988505747126437,-0.02701338045947993,-0.2930705657978385,0.30676632769681256,44.64891770000003
41,-73.90966667,40.810495,1.019590535,1023.0,887.0,1050.0,987.0,1221.0,2120.0,2350.0,2280.0,2613.0,2174.0,1842.0,0.3957759412304867,-0.023798832510103278,-0.36936936936936937,0.30676632769681256,44.64891770000003
42,-73.90959167,40.81047333,1.019590535,1023.0,887.0,1050.0,987.0,1221.0,2120.0,2350.0,2280.0,2613.0,2174.0,1842.0,0.3957759412304867,-0.023798832510103278,-0.36936936936936937,0.30676632769681256,44.64891770000003
43,-73.90951833,40.810445,1.019590535,1023.0,496.0,681.0,558.0,1221.0,2120.0,2350.0,2998.0,2613.0,2174.0,1842.0,0.6861642294713161,-0.15931941221964424,-0.629790703995651,0.47699574870099204,45.34619378000002
44,-73.90944,40.81042333,1.019590535,1023.0,653.0,750.0,723.0,1256.0,1992.0,2346.0,2894.0,2585.0,2275.0,1963.0,0.600221177771634,-0.11975236989746565,-0.5883644346871569,0.47699574870099204,45.34619378000002
45,-73.909385,40.8104,1.019590535,1023.0,653.0,750.0,723.0,1256.0,1992.0,2346.0,2894.0,2585.0,2275.0,1963.0,0.600221177771634,-0.11975236989746565,-0.5883644346871569,0.47699574870099204,45.34619378000002
46,-73.909345,40.81038,1.019590535,1023.0,776.0,894.0,901.0,1256.0,1992.0,2346.0,2478.0,2585.0,2275.0,1963.0,0.4667061260728026,-0.042709867452135494,-0.4697508896797153,0.47699574870099204,45.34619378000002
47,-73.90925333,40.81033333,1.01742682,1023.0,753.0,926.0,992.0,1278.0,2356.0,2719.0,2344.0,2831.0,2010.0,1512.0,0.4052757793764988,-0.07671107028020212,-0.43363914373088686,0.47699574870099204,45.34619378000002
48,-73.90922333,40.81030667,1.019590535,1023.0,753.0,926.0,992.0,1278.0,2356.0,2719.0,2344.0,2831.0,2010.0,1512.0,0.4052757793764988,-0.07671107028020212,-0.43363914373088686,0.47699574870099204,45.34619378000002
49,-73.90917333,40.81029333,1.019590535,1023.0,1134.0,1312.0,1310.0,1572.0,1805.0,1990.0,2248.0,2021.0,2035.0,1752.0,0.26363125351320965,-0.04973149661452253,-0.26292134831460673,0.15768588482333307,46.36476374000006
50,-73.90911833,40.81028,1.019590535,1023.0,1134.0,1312.0,1310.0,1572.0,1805.0,1990.0,2248.0,2021.0,2035.0,1752.0,0.26363125351320965,-0.04973149661452253,-0.26292134831460673,0.15768588482333307,46.36476374000006
51,-73.909055,40.81026167,1.019590535,1023.0,1190.0,1340.0,1480.0,1572.0,1805.0,1990.0,1658.0,2021.0,2035.0,1752.0,0.05672402804333971,0.10208502572434336,-0.10607071380920614,0.15768588482333307,46.36476374000006
52,-73.90897833,40.81023833,1.019590535,1233.0,1146.0,1306.0,1460.0,1270.0,1430.0,1449.0,1672.0,1495.0,1922.0,1714.0,0.06768837803320563,0.06956037840845854,-0.1229012760241773,0.15768588482333307,46.36476374000006
53,-73.908895,40.81021833,1.019590535,1233.0,1146.0,1306.0,1460.0,1270.0,1430.0,1449.0,1672.0,1495.0,1922.0,1714.0,0.06768837803320563,0.06956037840845854,-0.1229012760241773,0.15768588482333307,46.36476374000006
54,-73.90871333,40.81017333,1.02175425,1233.0,1288.0,1374.0,1456.0,2184.0,2377.0,2514.0,1904.0,2533.0,2728.0,2606.0,0.13333333333333333,0.17789291882556132,-0.16168395363026236,0.2536906798454032,46.85354060000003
55,-73.90862167,40.810155,1.02175425,1233.0,1376.0,1544.0,1390.0,2184.0,2377.0,2514.0,2278.0,2533.0,2728.0,2606.0,0.2420937840785169,0.0898921294446664,-0.19204604918890633,0.2536906798454032,46.85354060000003
56,-73.90853667,40.81013833,1.02175425,1233.0,1376.0,1544.0,1390.0,2184.0,2377.0,2514.0,2278.0,2533.0,2728.0,2606.0,0.2420937840785169,0.0898921294446664,-0.19204604918890633,0.2536906798454032,46.85354060000003
57,-73.90847,40.81012667,1.023917965,1233.0,1376.0,1544.0,1390.0,2184.0,2377.0,2514.0,2278.0,2533.0,2728.0,2606.0,0.2420937840785169,0.0898921294446664,-0.19204604918890633,0.2536906798454032,46.85354060000003
58,-73.90843167,40.810125,1.023917965,1233.0,1130.0,1196.0,1294.0,2235.0,2570.0,2845.0,2276.0,2718.0,2719.0,2592.0,0.2750700280112045,0.08868868868868869,-0.31105990783410137,0.22613947399738196,47.174834480000015
59,-73.90818333,40.81009667,1.015263105,1299.0,882.0,902.0,951.0,1524.0,1529.0,1541.0,1146.0,1608.0,2003.0,1936.0,0.09298998569384835,0.2721498888536043,-0.119140625,0.13120499932074442,47.520054500000015
60,-73.9081,40.81007833,1.015263105,1299.0,882.0,902.0,951.0,1524.0,1529.0,1541.0,1146.0,1608.0,2003.0,1936.0,0.09298998569384835,0.2721498888536043,-0.119140625,0.10223434385817688,47.50980044000005
61,-73.90800833,40.81006,1.01309939,1299.0,1210.0,1322.0,1434.0,1746.0,2019.0,2141.0,1656.0,1995.0,2560.0,2477.0,0.07184466019417475,0.2144212523719165,-0.11215580926796508,0.10223434385817688,47.50980044000005
62,-73.90791833,40.81004,1.01309939,1299.0,1192.0,1410.0,1592.0,1746.0,2019.0,2141.0,1896.0,1995.0,2560.0,2477.0,0.0871559633027523,0.1490125673249551,-0.147005444646098,0.10223434385817688,47.50980044000005
63,-73.90782333,40.810025,1.01309939,1299.0,1300.0,1516.0,1744.0,2322.0,2046.0,2397.0,1990.0,2365.0,3028.0,2968.0,0.06588109266202463,0.20685532084495814,-0.1351968054763263,0.10223434385817688,47.50980044000005
64,-73.907525,40.80997833,1.010935675,1223.0,1128.0,1376.0,1454.0,1749.0,1894.0,1938.0,1674.0,1995.0,2432.0,2263.0,0.07033248081841433,0.18460789089137847,-0.09770491803278689,0.11152239293442032,47.68411946000003
65,-73.90740667,40.809905,1.03269303,1223.0,1204.0,1290.0,1438.0,1749.0,1894.0,1938.0,1622.0,1995.0,2432.0,2263.0,0.06013071895424837,0.19980266403552047,-0.11401098901098901,0.11152239293442032,47.68411946000003
66,-73.90739667,40.80987,1.030529316,1223.0,1204.0,1290.0,1438.0,1749.0,1894.0,1938.0,1622.0,1995.0,2432.0,2263.0,0.06013071895424837,0.19980266403552047,-0.11401098901098901,0.11152239293442032,47.68411946000003
67,-73.90739833,40.80982833,1.030529316,1223.0,1204.0,1290.0,1438.0,1749.0,1894.0,1938.0,1622.0,1995.0,2432.0,2263.0,0.06013071895424837,0.19980266403552047,-0.11401098901098901,0.11152239293442032,47.68411946000003
68,-73.90741167,40.80977667,1.026201886,1223.0,1190.0,1294.0,1428.0,1522.0,1405.0,1578.0,1482.0,1392.0,1995.0,1948.0,0.018556701030927835,0.14754098360655737,-0.06772334293948126,0.08270676691729309,48.682181300000025
69,-73.907465,40.80964333,1.026201886,1223.0,1026.0,1204.0,1344.0,1177.0,1318.0,1366.0,1300.0,1310.0,1793.0,1827.0,-0.01664145234493192,0.15939217588102167,-0.038338658146964855,0.08270676691729309,48.682181300000025
70,-73.90749167,40.80957167,1.026201886,1223.0,1152.0,1218.0,1346.0,1177.0,1318.0,1366.0,1406.0,1310.0,1793.0,1827.0,0.02180232558139535,0.12097530478274461,-0.07164634146341463,0.08270676691729309,48.682181300000025
71,-73.90751833,40.80950167,1.028365601,1223.0,1036.0,1076.0,1192.0,1177.0,1318.0,1366.0,1296.0,1310.0,1793.0,1827.0,0.04180064308681672,0.1608934930398187,-0.09274873524451939,0.055252092882306106,49.03423736000002
72,-73.90753833,40.80944167,1.028365601,1022.0,1412.0,1588.0,1686.0,1673.0,1572.0,1623.0,1704.0,1630.0,1923.0,1785.0,0.005309734513274336,0.060380479735318446,-0.03523693803159174,0.055252092882306106,49.03423736000002
73,-73.90755,40.80939833,1.028365601,1022.0,1412.0,1588.0,1686.0,1673.0,1572.0,1623.0,1704.0,1630.0,1923.0,1785.0,0.005309734513274336,0.060380479735318446,-0.03523693803159174,0.055252092882306106,49.03423736000002
74,-73.90761333,40.80920333,1.04134789,1258.0,1430.0,1716.0,1882.0,1779.0,1939.0,1941.0,1810.0,1784.0,2549.0,2604.0,-0.01950162513542795,0.1695342968570773,-0.02665910380034033,0.09539116157528388,49.287170840000044
75,-73.90763833,40.80913833,1.04134789,1258.0,1272.0,1506.0,1638.0,1779.0,1939.0,1941.0,1720.0,1784.0,2549.0,2604.0,0.024419297200714712,0.1941906769735301,-0.06633601983880967,0.09539116157528388,49.287170840000044
76,-73.90766,40.80906667,1.03702046,1258.0,1004.0,1134.0,1174.0,1576.0,1693.0,1912.0,1786.0,1878.0,2071.0,1827.0,0.20675675675675675,0.07389162561576355,-0.2232876712328767,0.09539116157528388,49.287170840000044
77,-73.90768,40.80899,1.03702046,1258.0,976.0,1018.0,1072.0,1576.0,1693.0,1912.0,2252.0,1878.0,2071.0,1827.0,0.35499398315282793,-0.04186907240342355,-0.37737003058103974,0.13612195925281143,49.550358380000034
78,-73.90770167,40.80891167,1.039184175,1046.0,1082.0,1138.0,1206.0,1360.0,1692.0,1749.0,2104.0,1705.0,2017.0,1832.0,0.27129909365558913,-0.021111380732831836,-0.29796421961752007,0.13612195925281143,49.550358380000034
79,-73.90772667,40.808825,1.039184175,1046.0,1080.0,1262.0,1296.0,1360.0,1692.0,1749.0,1460.0,1705.0,2017.0,1832.0,0.059506531204644414,0.16019557089444925,-0.07274063188831742,0.13612195925281143,49.550358380000034
80,-73.90775667,40.808735,1.026201886,1046.0,1186.0,1340.0,1402.0,1446.0,1437.0,1410.0,1350.0,1440.0,1820.0,1765.0,-0.0188953488372093,0.14826498422712933,-0.0037174721189591076,0.11945701357466061,49.581120560000045
81,-73.907785,40.80864333,1.026201886,1046.0,1184.0,1464.0,1566.0,1446.0,1437.0,1410.0,1346.0,1440.0,1820.0,1765.0,-0.07554945054945054,0.14971572962728996,0.04199288256227758,0.11945701357466061,49.581120560000045
82,-73.90781833,40.80855,1.024038171,1046.0,908.0,1110.0,1264.0,1468.0,1334.0,1391.0,1144.0,1445.0,1730.0,1691.0,-0.04983388704318937,0.20389700765483645,-0.015084294587400177,0.11945701357466061,49.581120560000045
83,-73.90785667,40.80845667,1.024038171,1046.0,805.0,883.0,933.0,966.0,900.0,932.0,962.0,1010.0,1431.0,1381.0,0.015303430079155673,0.19598829920601754,-0.042818428184281845,0.04988492576012111,49.49908807999998
84,-73.90789333,40.80836,1.024038171,1480.0,1068.0,1158.0,1198.0,1138.0,1236.0,1311.0,1220.0,1248.0,1596.0,1509.0,0.009098428453267164,0.13352272727272727,-0.02607232968881413,0.04988492576012111,49.49908807999998
85,-73.90792833,40.80826167,1.024038171,1480.0,917.0,984.0,1194.0,1138.0,1236.0,1311.0,1276.0,1248.0,1596.0,1509.0,0.03319838056680162,0.11142061281337047,-0.12920353982300886,0.04988492576012111,49.49908807999998
86,-73.90800833,40.80806667,1.019710741,1480.0,2306.0,2452.0,2894.0,2217.0,2132.0,2310.0,3212.0,2098.0,2225.0,1863.0,0.052079921388797905,-0.18153393415486482,-0.134180790960452,0.056345310243002794,48.79155794000002
87,-73.90802667,40.80797667,1.015383311,1480.0,2096.0,2486.0,2932.0,2389.0,2663.0,2442.0,3188.0,2576.0,2842.0,2316.0,0.04183006535947712,-0.05737976782752902,-0.1237222418047233,0.056345310243002794,48.79155794000002
88,-73.90804667,40.807885,1.015383311,1480.0,1886.0,2182.0,2630.0,2389.0,2663.0,2442.0,2780.0,2576.0,2842.0,2316.0,0.027726432532347505,0.011028103877623622,-0.12051592099959693,0.04509213038577439,47.49612836000006
89,-73.90808667,40.80778833,1.006728452,1618.0,1660.0,1888.0,2224.0,2051.0,2103.0,2015.0,2410.0,2040.0,2599.0,2302.0,0.04013810962451446,0.0377320822519465,-0.12145183806421592,0.04509213038577439,47.49612836000006
90,-73.90813,40.80769167,1.006728452,1618.0,2662.0,2980.0,3544.0,4839.0,4638.0,4864.0,3672.0,4876.0,4310.0,3068.0,0.017738359201773836,0.07992984214482586,-0.10402886349969934,0.05664808482066175,47.321809340000016
91,-73.90817333,40.80759667,1.004564737,1618.0,2114.0,2478.0,2846.0,3023.0,3602.0,3522.0,3176.0,3796.0,3430.0,2607.0,0.05479907007638658,0.0384498940357251,-0.12345242306331801,0.19412925146986837,46.35109166000001
92,-73.90821333,40.8075,1.004564737,1618.0,2316.0,2592.0,3056.0,3023.0,3602.0,3522.0,3926.0,3796.0,3430.0,2607.0,0.12460613004869665,-0.0674279499728113,-0.20466400736422216,0.19412925146986837,46.35109166000001
93,-73.908245,40.80741333,1.004564737,1618.0,1078.0,1310.0,1370.0,1934.0,2194.0,2240.0,2864.0,2324.0,2497.0,2226.0,0.3528578176665092,-0.0684573773549711,-0.37230474365117394,0.19412925146986837,46.35109166000001
94,-73.90827,40.80732833,1.004564737,1618.0,1286.0,1656.0,1722.0,1934.0,2194.0,2240.0,2438.0,2324.0,2497.0,2226.0,0.17211538461538461,0.011955420466058764,-0.19101123595505617,0.17673817181127943,45.76661023999998
95,-73.90829833,40.80723833,1.000237307,813.0,2454.0,2622.0,3038.0,1653.0,2392.0,2925.0,3226.0,2796.0,2606.0,2254.0,0.030012771392081736,-0.10631001371742113,-0.10328317373461013,0.17673817181127943,45.76661023999998
96,-73.90836333,40.80704833,1.000237307,813.0,638.0,796.0,700.0,1025.0,2105.0,2842.0,2414.0,2440.0,1704.0,1167.0,0.550417469492614,-0.1724137931034483,-0.5040498442367601,0.4354370744879492,45.44873438000002
97,-73.90839667,40.806955,1.000357514,813.0,481.0,600.0,471.0,1025.0,2105.0,2842.0,2922.0,2440.0,1704.0,1167.0,0.7223695844385499,-0.26329442282749677,-0.6592844974446337,0.4354370744879492,45.44873438000002
98,-73.90842833,40.80687167,1.000357514,813.0,516.0,636.0,473.0,797.0,2161.0,2917.0,2868.0,2623.0,1529.0,974.0,0.7168512421430709,-0.3045258130543552,-0.636986301369863,0.4354370744879492,45.44873438000002
99,-73.908455,40.80679667,1.004684943,813.0,592.0,709.0,610.0,797.0,2161.0,2917.0,2626.0,2623.0,1529.0,974.0,0.622991347342398,-0.26401925391095066,-0.5748125937031484,0.5060910513461734,45.36328388000004
100,-73.90848,40.80674,1.004684943,863.0,446.0,571.0,434.0,1151.0,2315.0,2922.0,3194.0,2618.0,1674.0,1107.0,0.7607497243660419,-0.3122432210353328,-0.69667994687915,0.44865501008742453,45.59570924000002
101,-73.90849667,40.80669667,1.004684943,863.0,446.0,571.0,434.0,1151.0,2315.0,2922.0,3194.0,2618.0,1674.0,1107.0,0.7607497243660419,-0.3122432210353328,-0.69667994687915,0.44865501008742453,45.59570924000002
102,-73.90853,40.80663333,1.006848658,863.0,572.0,695.0,629.0,1151.0,2315.0,2922.0,3140.0,2618.0,1674.0,1107.0,0.6662244627222075,-0.30452845866223516,-0.6375488917861799,0.44865501008742453,45.59570924000002
103,-73.90859333,40.80654167,1.004684943,863.0,465.0,598.0,403.0,838.0,2147.0,2790.0,3366.0,2963.0,1547.0,1007.0,0.7861501724595383,-0.370242214532872,-0.698284561049445,0.521383192601528,45.68799578000005
104,-73.90863333,40.80648333,1.004684943,863.0,651.0,724.0,567.0,838.0,2147.0,2790.0,2702.0,2963.0,1547.0,1007.0,0.6531049250535332,-0.27182866556836904,-0.5773496789258611,0.521383192601528,45.68799578000005
105,-73.908675,40.80643,1.004684943,863.0,491.0,628.0,444.0,838.0,2147.0,2790.0,3168.0,2963.0,1547.0,1007.0,0.7541528239202658,-0.343796394485684,-0.6691253951527925,0.521383192601528,45.68799578000005
106,-73.90871333,40.80638833,1.004684943,863.0,860.0,867.0,812.0,1016.0,1539.0,1730.0,1510.0,2028.0,1478.0,1119.0,0.3006029285099053,-0.0107095046854083,-0.27050904501472445,0.521383192601528,45.68799578000005
107,-73.90875333,40.80634667,1.004684943,863.0,682.0,803.0,689.0,1016.0,1539.0,1730.0,2374.0,2028.0,1478.0,1119.0,0.5501142670584395,-0.23260643821391486,-0.4944916587976078,0.521383192601528,45.68799578000005
108,-73.9088,40.80631167,1.004684943,863.0,888.0,896.0,848.0,1016.0,1539.0,1730.0,1302.0,2028.0,1478.0,1119.0,0.2111627906976744,0.06330935251798561,-0.18471337579617833,0.13628593080841014,46.22804294000002
109,-73.90885167,40.80628333,1.004684943,863.0,763.0,807.0,771.0,861.0,2129.0,2783.0,1764.0,2723.0,1538.0,979.0,0.39171597633136096,-0.06844336765596608,-0.37222870478413067,0.26617934891152395,45.746102120000046
110,-73.90889833,40.80626,1.004684943,863.0,763.0,807.0,771.0,861.0,2129.0,2783.0,1764.0,2723.0,1538.0,979.0,0.39171597633136096,-0.06844336765596608,-0.37222870478413067,0.26617934891152395,45.746102120000046
111,-73.90893667,40.80624833,1.004684943,863.0,692.0,771.0,638.0,861.0,2129.0,2783.0,2610.0,2723.0,1538.0,979.0,0.6071428571428571,-0.25843780135004824,-0.543921916592724,0.26617934891152395,45.746102120000046
112,-73.90896333,40.80624333,1.004684943,863.0,692.0,771.0,638.0,861.0,2129.0,2783.0,2610.0,2723.0,1538.0,979.0,0.6071428571428571,-0.25843780135004824,-0.543921916592724,0.26617934891152395,45.746102120000046
113,-73.909165,40.80621667,1.015503518,1327.0,1092.0,1218.0,1106.0,1282.0,1396.0,1515.0,1572.0,1608.0,1532.0,1294.0,0.1740104555638536,-0.01288659793814433,-0.12688172043010754,0.26617934891152395,45.746102120000046
114,-73.909225,40.806185,1.015503518,1327.0,1136.0,1272.0,1310.0,1282.0,1396.0,1515.0,1546.0,1608.0,1532.0,1294.0,0.08263305322128851,-0.004548408057179987,-0.09723207948899928,0.29749328104663536,45.373537940000006
